Fantome;Source (MeV);Angle (degres);Pastille 1;Pastille 2;Pastille 3;Pastille 4;Pastille 5;Pastille 6;Moyenne r‚elle (barns);Ecart type r‚el
M1C;CALIBAN3m;60;9,88E-01;8,07E-01;0,00E+00;2,55E-01;9,76E-01;1,00E+00;2,69E-07;1,39E-07
M1E;SILENENU05m;300;0,00E+00;3,02E-01;9,96E-01;9,88E-01;1,00E+00;7,55E-01;2,34E-07;1,27E-07
M1A;SILENENU05m;240;2,75E-01;1,00E+00;9,90E-01;9,35E-01;8,08E-01;0,00E+00;2,44E-07;1,16E-07
M1E;SILENENU05m;210;3,63E-01;9,97E-01;9,91E-01;1,00E+00;6,08E-02;0,00E+00;1,96E-07;1,44E-07
M1A;CALIBAN025m;75;9,85E-01;9,67E-01;0,00E+00;1,64E-01;9,64E-01;1,00E+00;3,70E-07;1,79E-07
M1C;SILENENU05m;330;0,00E+00;1,02E-01;8,21E-01;1,00E+00;4,36E-01;3,15E-01;1,60E-07;1,15E-07
M1C;SILENENU4m;330;0,00E+00;9,59E-02;8,11E-01;1,00E+00;4,25E-01;3,22E-01;8,04E-08;5,82E-08
M1C;Flattop;45;9,62E-01;2,07E-01;0,00E+00;9,21E-01;1,00E+00;9,86E-01;1,72E-08;9,23E-09
M1A;SILENEPb4m;150;1,00E+00;9,99E-01;7,80E-01;0,00E+00;4,25E-02;7,79E-01;4,89E-08;2,98E-08
M1E;SILENEPb4m;300;0,00E+00;2,84E-01;9,91E-01;9,91E-01;1,00E+00;7,48E-01;5,36E-08;2,96E-08
M1A;CALIBAN025m;30;7,88E-01;2,89E-02;0,00E+00;8,30E-01;1,00E+00;9,91E-01;3,35E-07;1,91E-07
M1C;Flattop;360;9,46E-02;0,00E+00;7,30E-01;1,00E+00;7,42E-01;1,00E+00;1,45E-08;9,32E-09
M1C;CALIBAN025m;195;9,61E-01;6,40E-01;1,00E+00;9,75E-01;1,62E-03;0,00E+00;3,18E-07;2,14E-07
M1A;Flattop;60;9,91E-01;1,00E+00;0,00E+00;4,20E-01;9,79E-01;9,88E-01;1,85E-08;8,10E-09
M1C;CALIBAN025m;300;0,00E+00;9,85E-01;9,88E-01;9,99E-01;1,00E+00;6,25E-01;4,05E-07;1,65E-07
M1C;SILENENU4m;195;9,62E-01;6,35E-01;1,00E+00;9,74E-01;0,00E+00;9,76E-05;1,05E-07;7,19E-08
M1E;SILENENU05m;270;7,33E-03;8,37E-01;1,00E+00;9,74E-01;8,20E-01;0,00E+00;2,17E-07;1,37E-07
M1E;CALIBAN3m;225;2,80E-01;1,00E+00;9,70E-01;9,76E-01;1,44E-01;0,00E+00;2,27E-07;1,63E-07
M1E;SILENENU4m;225;2,77E-01;1,00E+00;9,69E-01;9,76E-01;1,39E-01;0,00E+00;9,98E-08;7,26E-08
M1C;CALIBAN3m;165;1,00E+00;9,92E-01;3,93E-01;2,75E-02;0,00E+00;5,06E-01;1,98E-07;1,49E-07
M1E;Flattop;180;1,00E+00;2,72E-01;8,36E-01;4,67E-01;0,00E+00;8,86E-02;1,09E-08;8,69E-09
M1C;SILENEPb4m;240;2,32E-01;1,00E+00;9,65E-01;9,55E-01;8,49E-01;0,00E+00;5,57E-08;2,85E-08
M1A;CALIBAN025m;150;9,99E-01;1,00E+00;8,23E-01;0,00E+00;4,31E-02;7,79E-01;3,27E-07;1,90E-07
M1C;CALIBAN3m;300;0,00E+00;9,85E-01;9,94E-01;9,97E-01;1,00E+00;6,23E-01;3,04E-07;1,26E-07
M1A;SILENENU05m;345;1,58E-02;0,00E+00;9,58E-01;1,00E+00;3,08E-01;9,36E-01;1,95E-07;1,40E-07
M1A;Flattop;105;1,00E+00;9,56E-01;8,86E-02;0,00E+00;9,83E-01;9,78E-01;1,76E-08;8,82E-09
M1A;SILENENU05m;45;9,40E-01;5,56E-01;0,00E+00;9,69E-01;9,91E-01;1,00E+00;2,61E-07;1,11E-07
M1C;CALIBAN3m;360;8,56E-02;0,00E+00;7,22E-01;9,93E-01;7,34E-01;1,00E+00;2,29E-07;1,49E-07
M1A;CALIBAN025m;90;1,00E+00;7,40E-01;0,00E+00;4,34E-02;8,24E-01;9,84E-01;3,48E-07;1,70E-07
M1A;CALIBAN025m;210;2,68E-01;3,43E-01;1,00E+00;7,65E-01;1,17E-01;0,00E+00;2,39E-07;1,67E-07
M1E;CALIBAN3m;45;9,31E-01;3,26E-02;0,00E+00;5,31E-01;1,00E+00;9,67E-01;2,36E-07;1,62E-07
M1A;SILENENU4m;30;7,67E-01;3,29E-02;0,00E+00;8,27E-01;1,00E+00;9,86E-01;1,10E-07;6,45E-08
M1E;SILENENU4m;120;9,83E-01;1,00E+00;1,11E-01;0,00E+00;1,64E-01;9,88E-01;9,53E-08;7,48E-08
M1E;SILENENU4m;195;9,76E-01;4,47E-01;9,75E-01;1,00E+00;0,00E+00;9,50E-03;9,68E-08;7,16E-08
M1C;SILENEPb4m;285;0,00E+00;9,67E-01;9,94E-01;1,00E+00;9,42E-01;1,85E-01;5,58E-08;2,88E-08
M1E;CALIBAN3m;240;9,98E-01;9,96E-01;1,00E+00;9,93E-01;3,12E-01;0,00E+00;2,83E-07;1,51E-07
M1E;CALIBAN3m;315;0,00E+00;1,33E-01;9,75E-01;9,65E-01;1,00E+00;3,61E-01;2,32E-07;1,61E-07
M1C;CALIBAN3m;30;7,85E-01;1,79E-02;0,00E+00;8,40E-01;9,99E-01;1,00E+00;2,45E-07;1,55E-07
M1C;SILENENU05m;285;0,00E+00;9,54E-01;9,99E-01;1,00E+00;9,23E-01;1,96E-01;2,44E-07;1,22E-07
M1A;Flattop;150;9,98E-01;1,00E+00;7,91E-01;0,00E+00;4,86E-02;7,92E-01;1,55E-08;9,00E-09
M1E;SILENEPb4m;360;8,15E-02;0,00E+00;4,61E-01;8,31E-01;2,43E-01;1,00E+00;3,41E-08;2,82E-08
M1E;CALIBAN025m;30;7,75E-01;0,00E+00;6,42E-03;1,88E-01;1,00E+00;9,59E-01;2,70E-07;2,19E-07
M1C;Flattop;105;9,99E-01;9,21E-01;6,55E-02;0,00E+00;1,00E+00;9,78E-01;1,71E-08;9,54E-09
M1E;SILENEPb4m;15;2,20E-01;0,00E+00;3,45E-02;9,82E-01;4,59E-01;1,00E+00;3,58E-08;3,11E-08
M1E;Flattop;345;4,42E-03;0,00E+00;1,00E+00;9,55E-01;5,13E-01;9,62E-01;1,41E-08;1,01E-08
M1A;SILENENU05m;210;2,66E-01;3,39E-01;1,00E+00;7,68E-01;1,12E-01;0,00E+00;1,56E-07;1,12E-07
M1C;CALIBAN025m;135;1,00E+00;9,89E-01;3,49E-01;0,00E+00;1,69E-01;9,55E-01;3,11E-07;1,96E-07
M1A;SILENEPb4m;195;9,63E-01;4,21E-01;1,00E+00;9,63E-01;0,00E+00;4,38E-02;4,56E-08;3,11E-08
M1A;SILENENU4m;330;0,00E+00;1,01E-01;7,88E-01;1,00E+00;4,74E-01;3,04E-01;8,57E-08;5,62E-08
M1A;CALIBAN3m;285;0,00E+00;9,20E-01;1,00E+00;9,99E-01;9,87E-01;9,97E-02;2,81E-07;1,38E-07
M1E;SILENENU05m;90;9,97E-01;8,24E-01;0,00E+00;1,31E-03;8,08E-01;1,00E+00;2,10E-07;1,38E-07
M1E;CALIBAN3m;195;9,85E-01;4,51E-01;9,82E-01;1,00E+00;0,00E+00;9,22E-03;2,20E-07;1,62E-07
M1C;Flattop;120;1,00E+00;9,86E-01;1,60E-01;0,00E+00;6,60E-01;9,94E-01;1,61E-08;8,99E-09
M1C;SILENENU05m;315;0,00E+00;3,16E-01;9,05E-01;9,52E-01;1,00E+00;4,46E-01;2,23E-07;1,24E-07
M1C;Flattop;165;1,00E+00;9,94E-01;3,93E-01;2,67E-02;0,00E+00;5,24E-01;1,25E-08;9,30E-09
M1A;SILENEPb4m;225;8,78E-01;1,00E+00;9,90E-01;9,18E-01;3,37E-01;0,00E+00;5,61E-08;2,76E-08
M1A;Flattop;30;7,46E-01;3,30E-02;0,00E+00;8,35E-01;1,00E+00;9,77E-01;1,57E-08;9,11E-09
M1E;CALIBAN025m;225;2,92E-01;1,00E+00;9,63E-01;9,74E-01;1,52E-01;0,00E+00;3,03E-07;2,14E-07
M1A;SILENENU4m;105;1,00E+00;9,33E-01;9,25E-02;0,00E+00;9,73E-01;9,63E-01;1,22E-07;6,20E-08
M1C;SILENEPb4m;75;9,96E-01;9,49E-01;0,00E+00;1,04E-01;9,83E-01;1,00E+00;5,45E-08;3,12E-08
M1A;SILENEPb4m;135;1,00E+00;9,69E-01;3,79E-01;0,00E+00;1,75E-01;9,41E-01;4,80E-08;2,88E-08
M1E;Flattop;120;9,70E-01;1,00E+00;1,23E-01;0,00E+00;1,75E-01;9,78E-01;1,37E-08;1,04E-08
M1A;SILENEPb4m;165;9,87E-01;1,00E+00;7,83E-01;1,22E-02;0,00E+00;9,87E-01;5,07E-08;3,22E-08
M1E;SILENENU4m;45;9,27E-01;3,44E-02;0,00E+00;5,29E-01;1,00E+00;9,69E-01;1,04E-07;7,17E-08
M1E;SILENENU4m;60;9,70E-01;3,79E-01;0,00E+00;1,72E-01;1,00E+00;9,91E-01;1,02E-07;6,89E-08
M1E;Flattop;150;1,00E+00;9,91E-01;1,24E-01;6,44E-04;0,00E+00;8,31E-01;1,23E-08;1,04E-08
M1C;SILENENU05m;195;9,59E-01;6,41E-01;1,00E+00;9,74E-01;1,85E-03;0,00E+00;2,09E-07;1,42E-07
M1A;CALIBAN025m;195;9,51E-01;4,29E-01;1,00E+00;9,58E-01;0,00E+00;4,35E-02;3,05E-07;2,01E-07
M1E;Flattop;90;9,92E-01;8,26E-01;0,00E+00;5,04E-03;8,25E-01;1,00E+00;1,52E-08;9,88E-09
M1E;SILENENU05m;360;8,46E-02;0,00E+00;4,78E-01;8,29E-01;2,61E-01;1,00E+00;1,51E-07;1,22E-07
M1E;CALIBAN3m;270;1,16E-02;8,39E-01;1,00E+00;9,87E-01;8,17E-01;0,00E+00;2,46E-07;1,56E-07
M1C;Flattop;15;4,07E-01;0,00E+00;3,40E-02;2,28E-01;1,00E+00;9,62E-01;1,15E-08;9,56E-09
M1A;CALIBAN025m;360;2,28E-01;0,00E+00;9,34E-01;8,33E-01;1,00E+00;9,90E-01;3,48E-07;1,93E-07
M1E;CALIBAN3m;360;8,82E-02;0,00E+00;4,76E-01;8,30E-01;2,58E-01;1,00E+00;1,74E-07;1,40E-07
M1A;CALIBAN3m;180;9,76E-01;1,00E+00;4,78E-01;1,23E-01;0,00E+00;4,55E-01;2,07E-07;1,40E-07
M1E;SILENEPb4m;150;1,00E+00;9,83E-01;1,13E-01;0,00E+00;2,02E-04;8,15E-01;3,88E-08;3,37E-08
M1E;CALIBAN025m;255;1,15E-01;9,54E-01;1,00E+00;9,75E-01;9,55E-01;0,00E+00;3,55E-07;2,09E-07
M1A;SILENENU05m;315;0,00E+00;3,89E-01;9,34E-01;9,87E-01;1,00E+00;6,48E-01;2,40E-07;1,13E-07
M1A;SILENEPb4m;255;1,22E-01;9,06E-01;1,00E+00;9,69E-01;9,87E-01;0,00E+00;5,55E-08;2,87E-08
M1C;SILENENU05m;255;8,25E-02;9,16E-01;9,91E-01;1,00E+00;8,91E-01;0,00E+00;2,42E-07;1,27E-07
M1E;Flattop;195;9,73E-01;4,56E-01;9,66E-01;1,00E+00;0,00E+00;6,04E-03;1,38E-08;1,01E-08
M1A;CALIBAN025m;180;9,78E-01;1,00E+00;4,92E-01;1,27E-01;0,00E+00;4,65E-01;2,76E-07;1,84E-07
M1E;SILENENU05m;180;1,00E+00;2,69E-01;8,31E-01;4,53E-01;0,00E+00;8,45E-02;1,50E-07;1,21E-07
M1A;SILENENU4m;45;9,27E-01;5,44E-01;0,00E+00;9,70E-01;9,82E-01;1,00E+00;1,31E-07;5,58E-08
M1A;SILENENU05m;330;0,00E+00;1,03E-01;8,14E-01;1,00E+00;4,94E-01;3,18E-01;1,71E-07;1,11E-07
M1E;CALIBAN3m;30;7,72E-01;0,00E+00;7,01E-03;1,83E-01;1,00E+00;9,68E-01;2,02E-07;1,66E-07
M1C;Flattop;180;9,62E-01;1,00E+00;3,43E-01;2,40E-01;0,00E+00;8,18E-02;1,14E-08;9,61E-09
M1E;SILENENU4m;255;1,14E-01;9,67E-01;1,00E+00;9,87E-01;9,62E-01;0,00E+00;1,18E-07;7,08E-08
M1E;CALIBAN3m;180;1,00E+00;2,66E-01;8,32E-01;4,54E-01;0,00E+00;8,32E-02;1,72E-07;1,39E-07
M1E;CALIBAN025m;120;9,83E-01;1,00E+00;1,24E-01;0,00E+00;1,75E-01;9,86E-01;2,88E-07;2,20E-07
M1A;SILENENU4m;345;1,84E-02;0,00E+00;9,62E-01;1,00E+00;3,10E-01;9,36E-01;9,87E-08;7,08E-08
M1C;Flattop;285;0,00E+00;9,64E-01;9,92E-01;1,00E+00;9,53E-01;1,89E-01;1,76E-08;8,65E-09
M1C;SILENEPb4m;60;9,74E-01;7,98E-01;0,00E+00;2,37E-01;9,82E-01;1,00E+00;5,35E-08;2,87E-08
M1E;SILENENU05m;45;9,36E-01;3,21E-02;0,00E+00;5,37E-01;1,00E+00;9,75E-01;2,05E-07;1,42E-07
M1E;SILENENU05m;345;5,31E-03;0,00E+00;1,00E+00;9,72E-01;5,19E-01;9,78E-01;1,96E-07;1,41E-07
M1E;Flattop;330;0,00E+00;6,31E-02;9,61E-01;9,42E-01;1,00E+00;2,84E-01;1,41E-08;1,06E-08
M1C;SILENENU05m;180;9,62E-01;1,00E+00;3,44E-01;2,38E-01;0,00E+00;7,79E-02;1,56E-07;1,34E-07
M1A;CALIBAN025m;330;0,00E+00;1,02E-01;8,07E-01;1,00E+00;4,95E-01;3,25E-01;2,62E-07;1,65E-07
M1C;CALIBAN3m;210;6,18E-01;3,11E-01;1,00E+00;7,95E-01;1,03E-01;0,00E+00;1,94E-07;1,34E-07
M1C;SILENENU05m;225;2,22E-01;3,94E-01;1,00E+00;9,18E-01;2,85E-01;0,00E+00;1,73E-07;1,15E-07
M1C;SILENEPb4m;120;1,00E+00;9,78E-01;1,44E-01;0,00E+00;6,44E-01;9,90E-01;5,06E-08;2,98E-08
M1A;Flattop;180;9,76E-01;1,00E+00;4,92E-01;1,27E-01;0,00E+00;4,61E-01;1,30E-08;8,71E-09
M1E;Flattop;30;7,84E-01;0,00E+00;8,27E-03;1,84E-01;1,00E+00;9,66E-01;1,29E-08;1,05E-08
M1A;SILENEPb4m;15;9,39E-01;0,00E+00;1,02E-01;2,64E-01;1,00E+00;9,74E-01;4,50E-08;3,20E-08
M1E;SILENENU4m;105;1,00E+00;9,70E-01;4,95E-02;0,00E+00;9,80E-01;9,92E-01;1,15E-07;7,41E-08
M1C;CALIBAN3m;285;0,00E+00;9,57E-01;9,98E-01;1,00E+00;9,42E-01;1,97E-01;2,80E-07;1,39E-07
M1A;CALIBAN025m;270;2,86E-02;6,98E-01;1,00E+00;9,90E-01;7,66E-01;0,00E+00;3,44E-07;1,71E-07
M1E;SILENEPb4m;270;1,06E-02;8,13E-01;1,00E+00;9,97E-01;7,86E-01;0,00E+00;4,88E-08;3,15E-08
M1C;CALIBAN025m;330;0,00E+00;1,07E-01;8,18E-01;1,00E+00;4,35E-01;3,23E-01;2,45E-07;1,71E-07
M1C;SILENENU05m;300;0,00E+00;9,86E-01;9,96E-01;9,98E-01;1,00E+00;6,28E-01;2,67E-07;1,11E-07
M1A;SILENEPb4m;330;0,00E+00;9,23E-02;8,19E-01;1,00E+00;4,81E-01;3,06E-01;3,87E-08;2,61E-08
M1A;SILENENU4m;90;1,00E+00;7,26E-01;0,00E+00;3,79E-02;8,24E-01;9,88E-01;1,14E-07;5,81E-08
M1C;Flattop;255;9,59E-02;9,40E-01;9,99E-01;1,00E+00;9,52E-01;0,00E+00;1,75E-08;9,03E-09
M1E;Flattop;315;0,00E+00;1,38E-01;9,82E-01;9,76E-01;1,00E+00;3,70E-01;1,47E-08;1,01E-08
M1A;Flattop;240;2,88E-01;1,00E+00;9,99E-01;9,43E-01;8,19E-01;0,00E+00;1,77E-08;8,26E-09
M1E;SILENENU4m;315;0,00E+00;1,28E-01;9,83E-01;9,68E-01;1,00E+00;3,60E-01;1,02E-07;7,16E-08
M1C;CALIBAN025m;150;9,88E-01;1,00E+00;8,44E-01;0,00E+00;2,61E-02;8,18E-01;3,29E-07;2,05E-07
M1E;Flattop;240;1,00E+00;9,97E-01;9,98E-01;9,96E-01;3,12E-01;0,00E+00;1,77E-08;9,40E-09
M1C;SILENENU4m;150;9,91E-01;1,00E+00;8,40E-01;0,00E+00;2,68E-02;8,16E-01;1,08E-07;6,91E-08
M1C;SILENENU4m;30;7,81E-01;1,87E-02;0,00E+00;8,38E-01;1,00E+00;9,95E-01;1,07E-07;6,88E-08
M1C;SILENENU4m;180;9,60E-01;1,00E+00;3,37E-01;2,32E-01;0,00E+00;7,67E-02;7,85E-08;6,80E-08
M1A;CALIBAN3m;345;2,05E-02;0,00E+00;9,57E-01;1,00E+00;3,15E-01;9,41E-01;2,24E-07;1,59E-07
M1C;CALIBAN025m;15;4,13E-01;0,00E+00;3,46E-02;2,27E-01;1,00E+00;9,71E-01;2,45E-07;2,02E-07
M1E;CALIBAN3m;120;9,93E-01;1,00E+00;1,17E-01;0,00E+00;1,70E-01;9,93E-01;2,17E-07;1,68E-07
M1E;SILENEPb4m;255;1,11E-01;9,78E-01;1,00E+00;9,91E-01;9,72E-01;0,00E+00;5,39E-08;3,27E-08
M1C;Flattop;240;2,51E-01;1,00E+00;9,50E-01;9,44E-01;8,51E-01;0,00E+00;1,76E-08;8,58E-09
M1C;SILENENU05m;30;7,94E-01;1,63E-02;0,00E+00;8,55E-01;9,98E-01;1,00E+00;2,15E-07;1,37E-07
M1C;SILENENU4m;360;8,23E-02;0,00E+00;7,15E-01;9,82E-01;7,28E-01;1,00E+00;1,01E-07;6,60E-08
M1A;Flattop;360;2,23E-01;0,00E+00;9,31E-01;8,31E-01;1,00E+00;9,99E-01;1,65E-08;9,18E-09
M1C;Flattop;150;1,00E+00;9,99E-01;8,57E-01;0,00E+00;2,79E-02;8,26E-01;1,55E-08;9,70E-09
M1A;Flattop;255;1,33E-01;8,95E-01;1,00E+00;9,53E-01;9,86E-01;0,00E+00;1,76E-08;8,64E-09
M1A;CALIBAN3m;195;9,57E-01;4,32E-01;1,00E+00;9,65E-01;0,00E+00;4,25E-02;2,29E-07;1,53E-07
M1A;SILENEPb4m;360;2,08E-01;0,00E+00;9,30E-01;8,27E-01;1,00E+00;9,96E-01;5,23E-08;3,00E-08
M1C;SILENENU05m;105;1,00E+00;9,28E-01;7,29E-02;0,00E+00;9,83E-01;9,84E-01;2,38E-07;1,33E-07
M1C;SILENENU05m;150;9,85E-01;1,00E+00;8,37E-01;0,00E+00;2,70E-02;8,13E-01;2,16E-07;1,37E-07
M1E;CALIBAN3m;60;9,77E-01;3,85E-01;0,00E+00;1,74E-01;1,00E+00;9,92E-01;2,34E-07;1,55E-07
M1E;SILENENU05m;165;9,96E-01;3,40E-01;1,00E+00;2,22E-02;0,00E+00;1,94E-01;1,48E-07;1,36E-07
M1E;CALIBAN025m;210;3,70E-01;9,92E-01;9,81E-01;1,00E+00;6,60E-02;0,00E+00;2,99E-07;2,16E-07
M1C;CALIBAN025m;180;9,67E-01;1,00E+00;3,48E-01;2,45E-01;0,00E+00;8,28E-02;2,39E-07;2,01E-07
M1A;SILENEPb4m;240;2,74E-01;1,00E+00;9,97E-01;9,46E-01;8,05E-01;0,00E+00;5,59E-08;2,74E-08
M1C;SILENENU4m;60;9,78E-01;8,06E-01;0,00E+00;2,44E-01;9,79E-01;1,00E+00;1,18E-07;6,20E-08
M1E;SILENENU4m;165;1,00E+00;3,34E-01;9,96E-01;2,51E-02;0,00E+00;1,87E-01;7,42E-08;6,91E-08
M1A;SILENENU05m;120;1,00E+00;9,72E-01;1,76E-01;0,00E+00;5,96E-01;9,69E-01;2,27E-07;1,18E-07
M1A;CALIBAN025m;345;1,88E-02;0,00E+00;9,55E-01;1,00E+00;3,12E-01;9,37E-01;2,98E-07;2,09E-07
M1A;SILENENU05m;15;9,46E-01;0,00E+00;1,07E-01;2,82E-01;1,00E+00;9,90E-01;1,98E-07;1,37E-07
M1C;SILENENU05m;120;1,00E+00;9,87E-01;1,53E-01;0,00E+00;6,51E-01;9,92E-01;2,22E-07;1,26E-07
M1A;SILENENU4m;225;8,77E-01;1,00E+00;9,94E-01;8,94E-01;3,48E-01;0,00E+00;1,23E-07;5,93E-08
M1A;SILENENU05m;75;9,80E-01;9,63E-01;0,00E+00;1,37E-01;9,58E-01;1,00E+00;2,43E-07;1,21E-07
M1A;CALIBAN025m;255;1,27E-01;9,00E-01;9,89E-01;9,33E-01;1,00E+00;0,00E+00;3,73E-07;1,80E-07
M1A;Flattop;300;0,00E+00;9,44E-01;9,90E-01;9,91E-01;1,00E+00;2,57E-01;1,81E-08;8,30E-09
M1E;Flattop;15;2,43E-01;0,00E+00;3,90E-02;9,90E-01;4,70E-01;1,00E+00;1,15E-08;9,58E-09
M1E;SILENENU05m;120;9,89E-01;1,00E+00;1,15E-01;0,00E+00;1,68E-01;9,89E-01;1,90E-07;1,47E-07
M1E;SILENENU05m;225;2,83E-01;1,00E+00;9,67E-01;9,77E-01;1,44E-01;0,00E+00;1,99E-07;1,43E-07
M1C;Flattop;345;0,00E+00;1,55E-02;9,90E-01;1,00E+00;3,31E-01;9,53E-01;1,38E-08;1,04E-08
M1A;CALIBAN3m;120;1,00E+00;9,76E-01;1,83E-01;0,00E+00;5,89E-01;9,87E-01;2,60E-07;1,34E-07
M1E;CALIBAN025m;270;7,93E-03;8,40E-01;1,00E+00;9,81E-01;8,29E-01;0,00E+00;3,29E-07;2,05E-07
M1C;SILENENU05m;165;1,00E+00;9,98E-01;3,91E-01;2,56E-02;0,00E+00;5,11E-01;1,73E-07;1,31E-07
M1A;CALIBAN025m;315;0,00E+00;4,03E-01;9,42E-01;9,83E-01;1,00E+00;6,49E-01;3,65E-07;1,68E-07
M1E;SILENEPb4m;30;7,70E-01;0,00E+00;7,96E-03;1,73E-01;1,00E+00;9,71E-01;4,04E-08;3,39E-08
M1E;SILENEPb4m;180;1,00E+00;2,48E-01;8,24E-01;4,38E-01;0,00E+00;7,23E-02;3,38E-08;2,82E-08
M1A;SILENENU05m;30;7,85E-01;2,85E-02;0,00E+00;8,13E-01;1,00E+00;9,86E-01;2,19E-07;1,28E-07
M1A;CALIBAN025m;225;8,96E-01;9,98E-01;1,00E+00;8,99E-01;3,51E-01;0,00E+00;3,72E-07;1,74E-07
M1C;CALIBAN025m;255;9,17E-02;9,19E-01;1,00E+00;1,00E+00;9,08E-01;0,00E+00;3,68E-07;1,89E-07
M1C;CALIBAN3m;195;9,66E-01;6,38E-01;1,00E+00;9,76E-01;2,65E-03;0,00E+00;2,40E-07;1,62E-07
M1E;CALIBAN025m;15;2,39E-01;0,00E+00;3,77E-02;9,79E-01;4,70E-01;1,00E+00;2,40E-07;2,01E-07
M1C;CALIBAN025m;345;0,00E+00;1,52E-02;9,72E-01;1,00E+00;3,39E-01;9,59E-01;2,92E-07;2,18E-07
M1C;SILENENU05m;135;1,00E+00;9,92E-01;3,38E-01;0,00E+00;1,60E-01;9,55E-01;2,04E-07;1,31E-07
M1E;CALIBAN025m;105;1,00E+00;9,73E-01;5,50E-02;0,00E+00;9,83E-01;9,90E-01;3,46E-07;2,20E-07
M1A;SILENENU4m;165;9,77E-01;1,00E+00;7,75E-01;9,26E-03;0,00E+00;9,79E-01;1,12E-07;7,02E-08
M1C;Flattop;90;1,00E+00;8,11E-01;0,00E+00;9,76E-03;7,93E-01;9,78E-01;1,62E-08;8,78E-09
M1E;Flattop;60;9,78E-01;3,93E-01;0,00E+00;1,82E-01;1,00E+00;9,89E-01;1,48E-08;9,68E-09
M1A;Flattop;330;0,00E+00;9,81E-02;8,27E-01;1,00E+00;4,98E-01;3,12E-01;1,24E-08;7,92E-09
M1A;CALIBAN3m;165;9,85E-01;1,00E+00;7,84E-01;1,58E-02;0,00E+00;9,88E-01;2,55E-07;1,58E-07
M1C;CALIBAN025m;90;1,00E+00;7,81E-01;0,00E+00;7,39E-03;8,18E-01;1,00E+00;3,37E-07;1,83E-07
M1C;Flattop;330;0,00E+00;1,06E-01;8,06E-01;1,00E+00;4,33E-01;3,26E-01;1,16E-08;8,10E-09
M1C;SILENENU05m;15;4,03E-01;0,00E+00;3,38E-02;2,24E-01;1,00E+00;9,70E-01;1,60E-07;1,35E-07
M1A;SILENENU4m;120;1,00E+00;9,73E-01;1,75E-01;0,00E+00;5,91E-01;9,71E-01;1,14E-07;5,98E-08
M1A;Flattop;210;2,77E-01;3,42E-01;1,00E+00;7,82E-01;1,16E-01;0,00E+00;1,15E-08;7,93E-09
M1A;SILENEPb4m;345;2,03E-02;0,00E+00;9,59E-01;1,00E+00;2,96E-01;9,27E-01;4,46E-08;3,25E-08
M1A;SILENENU4m;255;1,14E-01;9,08E-01;1,00E+00;9,37E-01;9,99E-01;0,00E+00;1,23E-07;6,18E-08
M1C;Flattop;30;7,91E-01;1,63E-02;0,00E+00;8,58E-01;9,94E-01;1,00E+00;1,54E-08;9,71E-09
M1A;CALIBAN3m;330;0,00E+00;1,03E-01;8,21E-01;1,00E+00;4,94E-01;3,14E-01;1,97E-07;1,27E-07
M1E;CALIBAN025m;75;9,91E-01;9,91E-01;0,00E+00;7,29E-02;9,62E-01;1,00E+00;3,47E-07;2,18E-07
M1A;SILENEPb4m;60;9,91E-01;1,00E+00;0,00E+00;4,09E-01;9,83E-01;9,94E-01;5,87E-08;2,71E-08
M1C;CALIBAN3m;90;1,00E+00;7,94E-01;0,00E+00;5,15E-03;8,06E-01;9,86E-01;2,54E-07;1,41E-07
M1E;Flattop;210;3,76E-01;1,00E+00;9,95E-01;9,97E-01;6,51E-02;0,00E+00;1,42E-08;1,02E-08
M1C;SILENEPb4m;195;9,66E-01;6,27E-01;1,00E+00;9,63E-01;8,02E-05;0,00E+00;4,78E-08;3,29E-08
M1C;CALIBAN025m;105;1,00E+00;9,30E-01;7,73E-02;0,00E+00;9,91E-01;9,78E-01;3,60E-07;1,99E-07
M1E;SILENENU4m;330;0,00E+00;5,73E-02;9,61E-01;9,39E-01;1,00E+00;2,79E-01;9,81E-08;7,53E-08
M1A;Flattop;285;0,00E+00;9,42E-01;9,82E-01;1,00E+00;9,92E-01;1,04E-01;1,75E-08;8,43E-09
M1A;CALIBAN025m;135;1,00E+00;9,77E-01;3,94E-01;0,00E+00;1,98E-01;9,59E-01;3,25E-07;1,83E-07
M1A;CALIBAN3m;15;9,36E-01;0,00E+00;1,03E-01;2,71E-01;1,00E+00;9,86E-01;2,26E-07;1,56E-07
M1C;SILENENU05m;345;0,00E+00;1,29E-02;9,70E-01;1,00E+00;3,35E-01;9,59E-01;1,92E-07;1,46E-07
M1C;SILENENU4m;135;1,00E+00;9,85E-01;3,30E-01;0,00E+00;1,58E-01;9,54E-01;1,03E-07;6,66E-08
M1A;Flattop;165;9,92E-01;1,00E+00;8,09E-01;1,30E-02;0,00E+00;9,93E-01;1,60E-08;9,80E-09
M1C;CALIBAN3m;255;8,03E-02;9,13E-01;9,93E-01;1,00E+00;8,98E-01;0,00E+00;2,77E-07;1,44E-07
M1E;CALIBAN025m;150;1,00E+00;9,89E-01;1,28E-01;0,00E+00;2,53E-04;8,26E-01;2,61E-07;2,18E-07
M1E;SILENENU4m;300;0,00E+00;2,95E-01;1,00E+00;9,92E-01;9,98E-01;7,52E-01;1,18E-07;6,43E-08
M1A;CALIBAN3m;360;2,16E-01;0,00E+00;9,26E-01;8,24E-01;1,00E+00;9,95E-01;2,62E-07;1,48E-07
